route_id,stop_ids
163B,"['S1075', 'S1076', 'S1077', 'S1078', 'S1079']"
164A,['S945']
164B,"['S965', 'S1088', 'S1007']"
165A,"['S1093', 'S1094', 'S1095', 'S1096', 'S1097']"
165B,"['S1101', 'S1102', 'S1103', 'S965', 'S1105', 'S1106']"
166A,"['S1110', 'S1111', 'S1112', 'S947', 'S949', 'S950', 'S1117']"
166B,"['S1121', 'S1122', 'S1123', 'S1125']"
167A,['S1129']
167B,"['S1133', 'S1135']"
170A,"['S1139', 'S914', 'S925', 'S1145']"
170B,"['S1149', 'S937', 'S1153', 'S1154', 'S999']"
172A,"['S1164', 'S1166']"
172B,"['S1171', 'S1173', 'S1149', 'S937', 'S1001', 'S998', 'S934', 'S1179']"
173A,['S1183']
173B,"['S1187', 'S1188', 'S1189', 'S1191', 'S1192', 'S1193']"
174A,"['S1197', 'S1198', 'S1199', 'S1201', 'S1202', 'S1204', 'S1205']"
174B,"['S1209', 'S1210', 'S1212', 'S1214']"
175A,"['S1218', 'S1220', 'S1221', 'S1222', 'S1223', 'S1224', 'S1225', 'S1221', 'S1228', 'S1229', 'S1205']"
175B,"['S1235', 'S1236', 'S1237', 'S1238', 'S1239', 'S1240', 'S1210', 'S1243']"
176A,"['S1228', 'S43', 'S1250', 'S1251', 'S1252', 'S1205']"
176B,"['S1235', 'S1258', 'S1238', 'S1239', 'S1240', 'S1210', 'S1243', 'S1267', 'S1269', 'S1214', 'S1271']"
177A,"['S1276', 'S1277', 'S1278', 'S1279', 'S1280']"
177B,"['S1284', 'S1285', 'S1269']"
178A,"['S1290', 'S1291', 'S1292', 'S1293', 'S1294', 'S1295', 'S74', 'S1297']"
178B,"['S1301', 'S1302', 'S1303', 'S1304', 'S1305', 'S1306']"
185A,"['S891', 'S981', 'S1312', 'S1313']"
185B,"['S1317', 'S1318', 'S1319', 'S1320', 'S1321', 'S1322', 'S1323']"
186A,['S1327']
186B,"['S1331', 'S1333', 'S569', 'S1336', 'S1337', 'S1338', 'S1339', 'S1340', 'S1341']"
188A,[]
188B,"['S1348', 'S1350', 'S1102', 'S152']"
192A,"['S1357', 'S1358', 'S1359']"
192B,"['S1363', 'S1364', 'S1366', 'S1368', 'S1369', 'S1370']"
193A,[]
193B,"['S1377', 'S1366', 'S1379', 'S1380', 'S1381', 'S1370']"
196A,"['S1386', 'S1387', 'S1388', 'S1389', 'S1390']"
196B,"['S1394', 'S1395', 'S1396', 'S1397']"
200A,[]
200B,[]
201A,"['S1407', 'S1408', 'S1387']"
201B,"['S1413', 'S1397']"
202A,[]
202B,[]
203(1)A,['S1424']
203(1)B,[]
203(2)A,['S1431']
203(2)B,['S1435']
204A,"['S1439', 'S1441']"
204B,[]
205A,"['S1448', 'S1449']"
205B,[]
206A,"['S1456', 'S1457', 'S1458', 'S1449']"
206B,"['S1463', 'S1464', 'S1465']"
207A,"['S1469', 'S237']"
207B,['S1474']
208A,"['S1478', 'S1479']"
208B,['S1483']
209A,"['S1487', 'S1489', 'S44']"
209B,['S1370']
210A,[]
210B,[]
211A,['S726']
211B,"['S1509', 'S1510']"
212A,[]
212B,[]
214A,['S1520']
216A,"['S1527', 'S465', 'S1530', 'S1531']"
216B,"['S1535', 'S1537', 'S1539', 'S241', 'S1542']"
219A,"['S1546', 'S1547', 'S465']"
219B,"['S82', 'S1553', 'S1370', 'S1370']"
221A,"['S1560', 'S1562', 'S1564', 'S1566', 'S1568', 'S1570', 'S1571', 'S1572', 'S1573', 'S282', 'S1575']"
221B,"['S1579', 'S1580', 'S1581', 'S1582', 'S1583', 'S1584', 'S1585', 'S1586', 'S1588', 'S1589', 'S1591', 'S1592', 'S1594']"
222A,"['S1598', 'S1599', 'S1600']"
222B,"['S1604', 'S1606', 'S1608', 'S1609', 'S1611', 'S1612', 'S1613', 'S1615']"
223A,"['S1619', 'S1620', 'S1621', 'S1622', 'S1623', 'S1624', 'S1625']"
223B,"['S1629', 'S1630', 'S1632', 'S1633', 'S153', 'S1636']"
224A,"['S1640', 'S466', 'S466', 'S1643']"
224B,"['S1647', 'S1648', 'S1649']"
225A,"['S1619', 'S1620', 'S1655']"
225B,"['S1659', 'S1660', 'S1662', 'S110', 'S1350', 'S1668']"
226A,"['S5510', 'S1387', 'S5513', 'S27', 'S26', 'S2901', 'S1388', 'S5519', 'S552', 'S5521']"
226B,"['S1336', 'S200', 'S5527']"
227A,"['S1672', 'S1673', 'S1675', 'S1677', 'S1678', 'S1680', 'S1682']"
227B,"['S1687', 'S1688', 'S1689', 'S1690', 'S1691', 'S1693', 'S1695', 'S1697', 'S1698', 'S1699', 'S1701', 'S1703', 'S1704', 'S1705', 'S111']"
228A,"['S1710', 'S1713', 'S1096', 'S1129', 'S1716', 'S1717']"
228B,"['S110', 'S1723', 'S111', 'S1726', 'S1728']"
230A,"['S1732', 'S863', 'S1734', 'S864', 'S1736', 'S1737', 'S1738', 'S1739', 'S1740', 'S1741']"
230B,"['S1745', 'S1659', 'S1747', 'S1748', 'S1749', 'S1350']"
231A,"['S1754', 'S1755', 'S1757', 'S1758', 'S1759', 'S1760', 'S1761', 'S1762', 'S1764']"
231B,"['S1767', 'S1768', 'S1769', 'S1705', 'S1772', 'S110', 'S1775', 'S1776', 'S1777', 'S1778']"
232A,"['S278', 'S282']"
232B,"['S1787', 'S1788']"
235A,"['S1792', 'S1793', 'S1754', 'S1795', 'S1796', 'S1797', 'S1798']"
235B,"['S1802', 'S1803', 'S1804', 'S1769', 'S1806', 'S1807', 'S1808', 'S1810', 'S1811', 'S1813', 'S1815', 'S1816', 'S1818', 'S1820']"
236A,"['S210', 'S2294', 'S1830', 'S981']"
236B,"['S1022', 'S1854', 'S1855', 'S1857', 'S1858', 'S1859', 'S1815', 'S1863', 'S1865', 'S1867', 'S1869', 'S1870', 'S1872', 'S1873']"
237A,"['S1877', 'S1878', 'S1880', 'S1881', 'S1883', 'S1885', 'S1886', 'S1887', 'S1754', 'S1890', 'S1891', 'S1892', 'S1894']"
237B,"['S1898', 'S1899', 'S1900', 'S1806', 'S1807', 'S1808', 'S1811', 'S1813', 'S1815', 'S1816', 'S1818']"
238A,"['S1918', 'S1877', 'S1880', 'S1922', 'S1923', 'S1924', 'S1925', 'S1926', 'S1927']"
238B,"['S1931', 'S1932', 'S1933', 'S1934', 'S1811', 'S1937', 'S1813', 'S1815', 'S1816', 'S1818', 'S1820']"
239A,"['S1948', 'S1949', 'S1877', 'S1878', 'S1754', 'S1954', 'S1956']"
239B,"['S1960', 'S1961', 'S1806', 'S1963', 'S1964', 'S1811', 'S1937', 'S1813', 'S1818', 'S1971', 'S1973']"
240A,"['S1949', 'S1979', 'S1877', 'S1878', 'S1880', 'S1987', 'S1923', 'S1989', 'S1990', 'S117', 'S1992', 'S1993']"
240B,"['S151', 'S1998', 'S2000', 'S2002', 'S2003', 'S2004', 'S1811', 'S1937', 'S1813', 'S1818', 'S1820']"
241A,"['S2015', 'S2016', 'S2018', 'S2019', 'S2020']"
241B,"['S332', 'S1586', 'S2026', 'S1589', 'S2028']"
242A,"['S1878', 'S1880', 'S1987', 'S1883', 'S2037', 'S2038']"
242B,"['S1815', 'S1818', 'S1971']"
243A,"['S1878', 'S1880', 'S2052', 'S1883', 'S1792', 'S2057', 'S2059', 'S1754', 'S1732']"
243B,"['S2065', 'S2067', 'S1808', 'S2070', 'S1811', 'S1813', 'S1818', 'S1820', 'S1971']"
244A,"['S2082', 'S2083', 'S1166']"
244B,"['S1647', 'S1648', 'S1649', 'S1149', 'S937', 'S1153', 'S1000', 'S2093', 'S2094', 'S214', 'S2096', 'S2097']"
246A,"['S1949', 'S1979', 'S1877', 'S1878', 'S1880', 'S2108', 'S2109', 'S1792', 'S2111', 'S1887', 'S1754']"
246B,"['S1769', 'S1964', 'S1869', 'S1811', 'S2125', 'S1813', 'S1815', 'S1818', 'S2129']"
247A,"['S2133', 'S2134', 'S2136']"
247B,"['S2140', 'S2141', 'S2142', 'S2143']"
248A,"['S2147', 'S2148', 'S2149']"
248B,"['S1632', 'S2154', 'S2155', 'S121']"
249A,[]
249B,"['S2163', 'S2164', 'S2165']"
251A,"['S1276', 'S2170', 'S2171', 'S206', 'S2173']"
251B,"['S2177', 'S2178', 'S2179', 'S1102', 'S2181', 'S2165', 'S2184', 'S2185']"
254A,"['S2189', 'S2190', 'S2191', 'S2192', 'S2194', 'S2195']"
254B,"['S2199', 'S2200', 'S2201', 'S564', 'S566', 'S569', 'S2208']"
255A,"['S2212', 'S187', 'S2020', 'S2018', 'S1570', 'S2220', 'S2221', 'S2222', 'S2224', 'S2225']"
255B,"['S1589', 'S2231', 'S2232', 'S2233', 'S2234', 'S2235', 'S1586', 'S2237', 'S2239', 'S326', 'S175']"
256A,"['S2246', 'S2247', 'S316', 'S167', 'S165', 'S162', 'S187', 'S2253', 'S2254', 'S2255', 'S2256', 'S1570', 'S2220', 'S2221', 'S2262', 'S2263', 'S2222', 'S2266', 'S2268', 'S2269', 'S2271']"
256B,"['S2275', 'S2276', 'S171', 'S2278', 'S321', 'S2280', 'S2282', 'S2283']"
260A,"['S2287', 'S2288', 'S2289', 'S2290', 'S2291', 'S210', 'S2293', 'S2294', 'S2295', 'S2296', 'S2298', 'S914', 'S2300']"
