route_id,name,distance_km
328B,Rawlings Park to Kwashieman Station,8.478714044289738
331A,Abeka lapaz to Accra Novotel,7.557701511512402
331B,Accra New Tema Station to Abeka lapaz,8.238421613806596
333A,Abeka lapaz to Adenta Station,13.906594246405554
333B,Adenta Station to Abeka lapaz,13.906594246405554
334A,Abeka lapaz to Agbogba,10.80951721325786
334B,Agbogba to Abeka lapaz,10.80951721325786
336A,Abeka lapaz to Alhaji,2.779469095222533
336B,Alhaji to Abeka lapaz,2.779469095222533
337A,Abeka lapaz to Ashaiman Overhead,25.916275643682166
337B,Ashaiman Station to Abeka lapaz,25.343252571344014
338A,Abeka lapaz to Lomnava Station,4.709990882464334
339A,Abeka lapaz to Madina Station,11.300013086182943
339B,Madina Station to Abeka lapaz,11.300013086182943
342A,Abeka lapaz to Omanjor Station,6.408269185507127
342B,Omanjor Station to Abeka lapaz,6.408269185507127
343A,Abeka lapaz to Race Course,2.725014680394073
343B,Race Course to Abeka lapaz,2.725014680394073
344A,Abeka lapaz to Santa Maria,3.194418426775197
344B,Santa Maria to Abeka lapaz,3.194418426775197
345A,Kotobabi Down Station to Achimota Station,3.325269676061291
345B,Achimota to Kotobabi Down Station,3.3718021636373514
347A,Abeka lapaz to Tema Main Station,27.838560707286817
347B,Tema Main Station to Abeka lapaz,27.838560707286817
348A,Abeka lapaz to Tetteh Quarshie,8.277912467227551
348B,Tetteh Quarshie to Abeka lapaz,8.277912467227551
349A,Abeka lapaz to Yellow House,4.205519352051545
349B,Yellow House to Abeka lapaz,4.205519352051545
351A,Legon Station to Dome Station,6.771169052489026
351B,Dome Station to Legon Station,6.771169052489026
353A,Legon Station to Social Welfare,3.3499281053835626
353B,353B,1.5732766953162163
356A,Mallam Attah Station to Achimota Station,4.923063056427896
356B,Achimota Station to Mallam Atta Station,4.7034205639217825
357A,Mallam Atta Station to Kotobabi Down Station,1.5454859819931077
357B,Kotobabi Down Station to Mallam Atta Station,1.5454859819931077
363A,Mataheko New Russia Station to Kaneshie Mkt Cmplx,2.5186275294077967
363B,Kaneshie Mkt Cmplx to Mataheko New Russia Station,2.5186275294077967
366B,Agbogbloshie Station No. 2 to New Fadama,6.156015974195932
367A,New Fadama to Accra CMB,6.616736366000601
367B,Accra CMB to New Fadama,6.616736366000601
368A,Accra New Tema Station to Abelemkpe Station,6.784323234397421
368B,Abelemkpe Station to Accra New Tema Station,6.784323234397421
369A,Accra New Tema Station to Agbogbloshie Station,1.7122985919556473
369B,Agbogbloshie Station to Accra New Tema Station,1.7122985919556473
373A,Accra New Tema Station to Dzorwulu Station,7.671536295360728
373B,Dzorwulu Station to Accra New Tema Station,7.671536295360728
376A,Accra New Tema Station to Pig Farm Station,5.5046170451269765
376B,Pig Farm Station to Accra New Tema Station,5.5046170451269765
377A,F to Ashongman,6.813490307072894
377B,Ashongman to Abeka lapaz,11.436980957754997
378A,Abeka lapaz to Last stop,5.051443488505936
378B,Awoshie Station to Abeka lapaz,4.906925371302166
380A,Abeka lapaz to 5 Haatso station,8.119152959416358
380B,Haatso to Abeka lapaz,8.145382518374573
381A,H to Israel Station,3.445380429934506
381B,381B,3.5764431142711772
383A,Accra New Tema Station to Ashaiman Station,24.237874221172092
383B,Ashaiman Station to Accra New Tema Station,24.237874221172092
384A,Accra New Tema Station to Tema Main Station,24.942170273268914
384B,Tema Main Station to Accra New Tema Station,24.942170273268914
385A,New Town Station to 37 Station,3.1457502575374923
385B,37 Station to New Town Station,3.1457502575374923
386A,New Town Station to Adenta Station,13.971515838240398
386B,Adenta Station to New Town Station,13.971515838240398
387A,New Town Station to Ashaley Botwe,12.465636617653088
387B,Ashaley Botwe to New Town Station,12.465636617653088
388A,New Town Station to Kasoa Station,24.52628544456444
388B,Kasoa Station to New Town Station,24.52628544456444
389A,New Town Station to Madina Station,10.876517789035725
389B,Madina Station to New Town Station,10.876517789035725
391A,New Town Station to Nima Overhead Station,1.1345933826168486
391B,Nima Overhead Station to Accra New Town Station,1.129163236770371
393A,Nima Overhead Station to Accra New Tema Station,3.657454981966851
393B,Accra New Tema Station to Nima Overhead Station,3.657454981966851
394A,Nima Overhead Station to Ashaiman Station,21.811481931121158
394B,Ashaiman Station to Nima Overhead Station,21.811481931121158
395A,Nima Overhead Station to Circle,2.3405926037416664
395B,Circle Lido to Nima Overhead Station,2.017938778889049
397A,Nima Overhead Station to Madina Station,10.966923871543113
397B,Madina Station to Nima Overhead Station,10.966923871543113
398A,Nima Overhead Station to Ashaiman Station,21.811481931121158
398B,Ashaiman Station to Nima Overhead Station,21.811481931121158
399A,Nima Overhead Station to Achimota Station,5.323398288677946
